Date,Match_type,Outcome,Overs,Team A,Team B,Winner,Toss,Venue
1/19/2013,ODI,winner New Zealand by wickets 1,50,South Africa, New Zealand,New Zealand,field,Boland Park
1/22/2013,ODI,winner New Zealand by runs 27,50,South Africa, New Zealand,South Africa,field,De Beers Diamond Oval
1/25/2013,ODI,winner South Africa by wickets 1,50,South Africa, New Zealand,New Zealand,bat,Senwes Park
3/10/2013,ODI,winner South Africa by runs 125,50,South Africa, Pakistan,Pakistan,field,Chevrolet Park
3/15/2013,ODI,winner Pakistan by wickets 6,50,South Africa, Pakistan,South Africa,bat,SuperSport Park
3/17/2013,ODI,winner South Africa by runs 34,50,South Africa, Pakistan,Pakistan,field,New Wanderers Stadium
3/21/2013,ODI,winner Pakistan by wickets 3,50,South Africa, Pakistan,South Africa,bat,Kingsmead
3/24/2013,ODI,winner South Africa by wickets 6,50,South Africa, Pakistan,Pakistan,bat,Willowmoore Park
2/17/2013,ODI,winner New Zealand by wickets 3,50,New Zealand, England,New Zealand,field,Seddon Park
2/20/2013,ODI,winner England by wickets 8,50,New Zealand, England,England,field,McLean Park
2/23/2013,ODI,winner England by wickets 5,50,New Zealand, England,England,field,Eden Park
8/28/2012,ODI,winner Australia by wickets 4,50,Australia, Pakistan,Pakistan,bat,Sharjah Cricket Stadium
8/31/2012,ODI,winner Pakistan by wickets 7,50,Australia, Pakistan,Australia,bat,Sheikh Zayed Stadium
9/3/2012,ODI,winner Australia by wickets 3,50,Australia, Pakistan,Australia,field,Sharjah Cricket Stadium
8/25/2012,ODI,winner Australia by runs 66,50,Afghanistan, Australia,Australia,bat,Sharjah Cricket Association Stadium
1/11/2013,ODI,winner Australia by runs 107,50,Australia, Sri Lanka,Australia,bat,Melbourne Cricket Ground
1/13/2013,ODI,winner Sri Lanka by wickets 8,50,Australia, Sri Lanka,Sri Lanka,field,Adelaide Oval
1/18/2013,ODI,winner Sri Lanka by wickets 4,50,Australia, Sri Lanka,Australia,bat,Brisbane Cricket Ground Woolloongabba
1/20/2013,ODI,no result,50,Australia, Sri Lanka,Australia,bat,Sydney Cricket Ground
1/23/2013,ODI,winner Australia by runs 32,50,Australia, Sri Lanka,Sri Lanka,field,Bellerive Oval
2/1/2013,ODI,winner Australia by wickets 9,50,Australia, West Indies,West Indies,bat,Western Australia Cricket Association Ground
2/3/2013,ODI,winner Australia by runs 54,50,Australia, West Indies,West Indies,field,Western Australia Cricket Association Ground
2/6/2013,ODI,winner Australia by runs 39,50,Australia, West Indies,Australia,bat,Manuka Oval
2/8/2013,ODI,winner Australia by wickets 5,50,Australia, West Indies,West Indies,bat,Sydney Cricket Ground
2/10/2013,ODI,winner Australia by runs 17,50,Australia, West Indies,West Indies,field,Melbourne Cricket Ground
6/6/2013,ODI,winner India by runs 26,50,India, South Africa,South Africa,field,Sophia Gardens
6/7/2013,ODI,winner West Indies by wickets 2,50,Pakistan, West Indies,West Indies,field,Kennington Oval
6/8/2013,ODI,winner England by runs 48,50,England, Australia,England,bat,Edgbaston
6/9/2013,ODI,winner New Zealand by wickets 1,50,New Zealand, Sri Lanka,Sri Lanka,bat,Sophia Gardens
6/10/2013,ODI,winner South Africa by runs 67,50,Pakistan, South Africa,South Africa,bat,Edgbaston
6/11/2013,ODI,winner India by wickets 8,50,India, West Indies,India,field,Kennington Oval
6/12/2013,ODI,no result,50,Australia, New Zealand,Australia,bat,Edgbaston
6/13/2013,ODI,winner Sri Lanka by wickets 7,50,England, Sri Lanka,Sri Lanka,field,Kennington Oval
6/14/2013,ODI,method tie,50,South Africa, West Indies,West Indies,field,Sophia Gardens
6/15/2013,ODI,winner India by wickets 8,50,India, Pakistan,India,field,Edgbaston
6/16/2013,ODI,winner England by runs 10,50,England, New Zealand,New Zealand,field,Sophia Gardens
6/17/2013,ODI,winner Sri Lanka by runs 20,50,Australia, Sri Lanka,Australia,field,Kennington Oval
11/4/2012,ODI,winner Sri Lanka by runs 14,50,Sri Lanka, New Zealand,New Zealand,bat,Pallekele International Cricket Stadium
11/6/2012,ODI,winner Sri Lanka by wickets 7,50,Sri Lanka, New Zealand,Sri Lanka,field,Pallekele International Cricket Stadium
11/10/2012,ODI,winner Sri Lanka by wickets 7,50,Sri Lanka, New Zealand,Sri Lanka,field,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
11/12/2012,ODI,no result,50,Sri Lanka, New Zealand,New Zealand,field,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
11/30/2012,ODI,winner Bangladesh by wickets 7,50,Bangladesh, West Indies,West Indies,bat,Sheikh Abu Naser Stadium
12/2/2012,ODI,winner Bangladesh by runs 160,50,Bangladesh, West Indies,West Indies,field,Sheikh Abu Naser Stadium
12/5/2012,ODI,winner West Indies by wickets 4,50,Bangladesh, West Indies,West Indies,field,Shere Bangla National Stadium
12/7/2012,ODI,winner West Indies by runs 75,50,Bangladesh, West Indies,Bangladesh,field,Shere Bangla National Stadium
12/8/2012,ODI,winner Bangladesh by wickets 2,50,Bangladesh, West Indies,Bangladesh,field,Shere Bangla National Stadium
12/30/2012,ODI,winner Pakistan by wickets 6,50,India, Pakistan,Pakistan,field,MA Chidambaram Stadium Chepauk
1/3/2013,ODI,winner Pakistan by runs 85,50,India, Pakistan,India,field,Eden Gardens
1/6/2013,ODI,winner India by runs 10,50,India, Pakistan,India,bat,Feroz Shah Kotla
3/11/2013,ODI,winner Kenya by wickets 6,50,Canada, Kenya,Canada,bat,ICC Global Cricket Academy
2/22/2013,ODI,winner West Indies by runs 156,50,West Indies, Zimbabwe,Zimbabwe,field,National Cricket Stadium St George's
2/26/2013,ODI,winner West Indies by wickets 5,50,West Indies, Zimbabwe,Zimbabwe,bat,National Cricket Stadium St George's
6/28/2013,ODI,winner West Indies by wickets 6,50,West Indies, Sri Lanka,West Indies,field,Sabina Park Kingston
6/30/2013,ODI,winner West Indies by wickets 1,50,West Indies, India,West Indies,field,Sabina Park Kingston
7/2/2013,ODI,winner Sri Lanka by runs 161,50,India, Sri Lanka,India,field,Sabina Park Kingston
7/5/2013,ODI,winner India by runs 102,50,West Indies, India,West Indies,field,Queen's Park Oval Port of Spain
7/7/2013,ODI,winner Sri Lanka by runs 39,50,West Indies, Sri Lanka,West Indies,field,Queen's Park Oval Port of Spain
7/9/2013,ODI,winner India by runs 81,50,India, Sri Lanka,Sri Lanka,field,Queen's Park Oval Port of Spain
7/11/2013,ODI,winner India by wickets 1,50,India, Sri Lanka,India,field,Queen's Park Oval Port of Spain
5/17/2013,ODI,winner Pakistan by runs 96,50,Scotland, Pakistan,Pakistan,bat,Grange Cricket Club Ground Raeburn Place
5/23/2013,ODI,method tie,50,Ireland, Pakistan,Pakistan,bat,Clontarf Cricket Club Ground
5/26/2013,ODI,winner Pakistan by wickets 2,50,Ireland, Pakistan,Pakistan,field,Clontarf Cricket Club Ground
3/23/2013,ODI,winner Sri Lanka by wickets 8,50,Sri Lanka, Bangladesh,Sri Lanka,field,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
3/25/2013,ODI,no result,50,Sri Lanka, Bangladesh,Bangladesh,field,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
3/28/2013,ODI,winner Bangladesh by wickets 3,50,Sri Lanka, Bangladesh,Sri Lanka,bat,Pallekele International Cricket Stadium
5/3/2013,ODI,winner Bangladesh by runs 121,50,Zimbabwe, Bangladesh,Zimbabwe,field,Queens Sports Club
5/5/2013,ODI,winner Zimbabwe by wickets 6,50,Zimbabwe, Bangladesh,Zimbabwe,field,Queens Sports Club
5/8/2013,ODI,winner Zimbabwe by wickets 7,50,Zimbabwe, Bangladesh,Zimbabwe,field,Queens Sports Club
7/7/2013,ODI,winner Ireland by runs 88,50,Netherlands, Ireland,Ireland,bat,VRA Ground
7/20/2013,ODI,winner Sri Lanka by runs 180,50,Sri Lanka, South Africa,South Africa,field,R Premadasa Stadium
7/23/2013,ODI,winner Sri Lanka by runs 17,50,Sri Lanka, South Africa,Sri Lanka,bat,R Premadasa Stadium
7/26/2013,ODI,winner South Africa by runs 56,50,Sri Lanka, South Africa,South Africa,bat,Pallekele International Cricket Stadium
7/28/2013,ODI,winner Sri Lanka by wickets 8,50,Sri Lanka, South Africa,South Africa,bat,Pallekele International Cricket Stadium
7/31/2013,ODI,winner Sri Lanka by runs 128,50,Sri Lanka, South Africa,Sri Lanka,bat,R Premadasa Stadium
1/12/2014,ODI,winner Australia by wickets 6,50,Australia, England,England,bat,Melbourne Cricket Ground
1/17/2014,ODI,winner Australia by wickets 1,50,Australia, England,England,bat,Brisbane Cricket Ground Woolloongabba
1/19/2014,ODI,winner Australia by wickets 7,50,Australia, England,England,bat,Sydney Cricket Ground
1/24/2014,ODI,winner England by runs 57,50,Australia, England,Australia,field,Western Australia Cricket Association Ground
1/26/2014,ODI,winner Australia by runs 5,50,Australia, England,Australia,bat,Adelaide Oval
2/28/2014,ODI,winner West Indies by runs 15,50,West Indies, England,England,field,Sir Vivian Richards Stadium North Sound
3/2/2014,ODI,winner England by wickets 3,50,West Indies, England,England,field,Sir Vivian Richards Stadium North Sound
3/5/2014,ODI,winner England by runs 25,50,West Indies, England,West Indies,field,Sir Vivian Richards Stadium North Sound
7/24/2013,ODI,winner India by wickets 6,50,Zimbabwe, India,India,field,Harare Sports Club
7/26/2013,ODI,winner India by runs 58,50,Zimbabwe, India,Zimbabwe,field,Harare Sports Club
7/28/2013,ODI,winner India by wickets 7,50,Zimbabwe, India,India,field,Harare Sports Club
8/1/2013,ODI,winner India by wickets 9,50,Zimbabwe, India,India,field,Queens Sports Club
8/3/2013,ODI,winner India by wickets 7,50,Zimbabwe, India,India,field,Queens Sports Club
7/14/2013,ODI,winner Pakistan by runs 126,50,West Indies, Pakistan,West Indies,field,Providence Stadium
7/16/2013,ODI,winner West Indies by runs 37,50,West Indies, Pakistan,Pakistan,field,Providence Stadium
7/19/2013,ODI,tie,50,West Indies, Pakistan,West Indies,field,Beausejour Stadium Gros Islet
7/21/2013,ODI,winner Pakistan by wickets 6,50,West Indies, Pakistan,Pakistan,field,Beausejour Stadium Gros Islet
7/24/2013,ODI,winner Pakistan by wickets 4,50,West Indies, Pakistan,Pakistan,field,Beausejour Stadium Gros Islet
10/13/2013,ODI,winner Australia by runs 72,50,India, Australia,Australia,bat,Maharashtra Cricket Association Stadium
10/16/2013,ODI,winner India by wickets 9,50,India, Australia,Australia,bat,Sawai Mansingh Stadium
10/19/2013,ODI,winner Australia by wickets 4,50,India, Australia,Australia,field,Punjab Cricket Association Stadium Mohali
10/23/2013,ODI,no result,50,India, Australia,India,field,JSCA International Stadium Complex
10/30/2013,ODI,winner India by wickets 6,50,India, Australia,India,field,Vidarbha Cricket Association Stadium Jamtha
11/2/2013,ODI,winner India by runs 57,50,India, Australia,Australia,field,M Chinnaswamy Stadium
12/5/2013,ODI,winner South Africa by runs 141,50,South Africa, India,India,field,New Wanderers Stadium
12/8/2013,ODI,winner South Africa by runs 134,50,South Africa, India,India,field,Kingsmead
12/11/2013,ODI,no result,50,South Africa, India,South Africa,bat,SuperSport Park
10/30/2013,ODI,winner South Africa by runs 1,50,Pakistan, South Africa,South Africa,bat,Sharjah Cricket Stadium
11/1/2013,ODI,winner Pakistan by runs 66,50,Pakistan, South Africa,Pakistan,bat,Dubai International Cricket Stadium
11/6/2013,ODI,winner South Africa by runs 68,50,Pakistan, South Africa,South Africa,bat,Sheikh Zayed Stadium
11/8/2013,ODI,winner South Africa by runs 28,50,Pakistan, South Africa,South Africa,bat,Sheikh Zayed Stadium
11/11/2013,ODI,winner South Africa by runs 117,50,Pakistan, South Africa,South Africa,bat,Sharjah Cricket Stadium
2/14/2015,ODI,winner New Zealand by runs 98,50,New Zealand, Sri Lanka,Sri Lanka,field,Hagley Oval
2/14/2015,ODI,winner Australia by runs 111,50,Australia, England,England,field,Melbourne Cricket Ground
2/15/2015,ODI,winner South Africa by runs 62,50,South Africa, Zimbabwe,Zimbabwe,field,Seddon Park
2/15/2015,ODI,winner India by runs 76,50,India, Pakistan,India,bat,Adelaide Oval
2/16/2015,ODI,winner Ireland by wickets 4,50,Ireland, West Indies,Ireland,field,Saxton Oval
2/17/2015,ODI,winner New Zealand by wickets 3,50,New Zealand, Scotland,New Zealand,field,University Oval
2/18/2015,ODI,winner Bangladesh by runs 105,50,Afghanistan, Bangladesh,Bangladesh,bat,Manuka Oval
2/19/2015,ODI,winner Zimbabwe by wickets 4,50,United Arab Emirates, Zimbabwe,Zimbabwe,field,Saxton Oval
2/20/2015,ODI,winner New Zealand by wickets 8,50,New Zealand, England,England,bat,Westpac Stadium
2/21/2015,ODI,winner West Indies by runs 150,50,Pakistan, West Indies,Pakistan,field,Hagley Oval
2/22/2015,ODI,winner Sri Lanka by wickets 4,50,Afghanistan, Sri Lanka,Sri Lanka,field,University Oval
2/22/2015,ODI,winner India by runs 130,50,India, South Africa,India,bat,Melbourne Cricket Ground
2/23/2015,ODI,winner England by runs 119,50,England, Scotland,Scotland,field,Hagley Oval
2/24/2015,ODI,winner West Indies by runs 73,50,West Indies, Zimbabwe,West Indies,bat,Manuka Oval
2/25/2015,ODI,winner Ireland by wickets 2,50,Ireland, United Arab Emirates,Ireland,field,Brisbane Cricket Ground Woolloongabba
2/26/2015,ODI,winner Afghanistan by wickets 1,50,Afghanistan, Scotland,Afghanistan,field,University Oval
2/26/2015,ODI,winner Sri Lanka by runs 92,50,Bangladesh, Sri Lanka,Sri Lanka,bat,Melbourne Cricket Ground
2/27/2015,ODI,winner South Africa by runs 257,50,South Africa, West Indies,South Africa,bat,Sydney Cricket Ground
2/28/2015,ODI,winner New Zealand by wickets 1,50,New Zealand, Australia,Australia,bat,Eden Park
2/28/2015,ODI,winner India by wickets 9,50,India, United Arab Emirates,United Arab Emirates,bat,Western Australia Cricket Association Ground
3/1/2015,ODI,winner Sri Lanka by wickets 9,50,England, Sri Lanka,England,bat,Westpac Stadium
3/1/2015,ODI,winner Pakistan by runs 20,50,Pakistan, Zimbabwe,Pakistan,bat,Brisbane Cricket Ground Woolloongabba
3/3/2015,ODI,winner South Africa by runs 201,50,Ireland, South Africa,South Africa,bat,Manuka Oval
3/4/2015,ODI,winner Pakistan by runs 129,50,Pakistan, United Arab Emirates,United Arab Emirates,field,McLean Park
3/4/2015,ODI,winner Australia by runs 275,50,Australia, Afghanistan,Afghanistan,field,Western Australia Cricket Association Ground
3/5/2015,ODI,winner Bangladesh by wickets 6,50,Bangladesh, Scotland,Bangladesh,field,Saxton Oval
3/6/2015,ODI,winner India by wickets 4,50,India, West Indies,West Indies,bat,Western Australia Cricket Association Ground
3/7/2015,ODI,winner Pakistan by runs 29,50,Pakistan, South Africa,South Africa,field,Eden Park
3/7/2015,ODI,winner Ireland by runs 5,50,Ireland, Zimbabwe,Zimbabwe,field,Bellerive Oval
3/8/2015,ODI,winner New Zealand by wickets 6,50,New Zealand, Afghanistan,Afghanistan,bat,McLean Park
3/8/2015,ODI,winner Australia by runs 64,50,Australia, Sri Lanka,Australia,bat,Sydney Cricket Ground
3/9/2015,ODI,winner Bangladesh by runs 15,50,Bangladesh, England,England,field,Adelaide Oval
3/10/2015,ODI,winner India by wickets 8,50,India, Ireland,Ireland,bat,Seddon Park
3/11/2015,ODI,winner Sri Lanka by runs 148,50,Scotland, Sri Lanka,Sri Lanka,bat,Bellerive Oval
3/12/2015,ODI,winner South Africa by runs 146,50,South Africa, United Arab Emirates,United Arab Emirates,field,Westpac Stadium
3/13/2015,ODI,winner New Zealand by wickets 3,50,New Zealand, Bangladesh,New Zealand,field,Seddon Park
3/13/2015,ODI,winner England by wickets 9,50,Afghanistan, England,England,field,Sydney Cricket Ground
3/14/2015,ODI,winner India by wickets 6,50,India, Zimbabwe,India,field,Eden Park
3/14/2015,ODI,winner Australia by wickets 7,50,Australia, Scotland,Australia,field,Bellerive Oval
3/15/2015,ODI,winner West Indies by wickets 6,50,United Arab Emirates, West Indies,West Indies,field,McLean Park
3/15/2015,ODI,winner Pakistan by wickets 7,50,Ireland, Pakistan,Ireland,bat,Adelaide Oval
3/18/2015,ODI,winner South Africa by wickets 9,50,South Africa, Sri Lanka,Sri Lanka,bat,Sydney Cricket Ground
3/19/2015,ODI,winner India by runs 109,50,Bangladesh, India,India,bat,Melbourne Cricket Ground
3/20/2015,ODI,winner Australia by wickets 6,50,Australia, Pakistan,Pakistan,bat,Adelaide Oval
3/21/2015,ODI,winner New Zealand by runs 143,50,New Zealand, West Indies,New Zealand,bat,Westpac Stadium
3/24/2015,ODI,winner New Zealand by wickets 4,50,New Zealand, South Africa,South Africa,bat,Eden Park
3/26/2015,ODI,winner Australia by runs 95,50,Australia, India,Australia,bat,Sydney Cricket Ground
3/29/2015,ODI,winner Australia by wickets 7,50,Australia, New Zealand,New Zealand,bat,Melbourne Cricket Ground
12/18/2013,ODI,winner Pakistan by runs 11,50,Pakistan, Sri Lanka,Pakistan,bat,Sharjah Cricket Stadium
12/20/2013,ODI,winner Sri Lanka by wickets 2,50,Pakistan, Sri Lanka,Sri Lanka,field,Dubai International Cricket Stadium
12/22/2013,ODI,winner Pakistan by runs 113,50,Pakistan, Sri Lanka,Sri Lanka,field,Sharjah Cricket Stadium
12/25/2013,ODI,winner Pakistan by wickets 8,50,Pakistan, Sri Lanka,Sri Lanka,bat,Sheikh Zayed Stadium
12/27/2013,ODI,winner Sri Lanka by wickets 2,50,Pakistan, Sri Lanka,Pakistan,bat,Sheikh Zayed Stadium
8/27/2013,ODI,winner Zimbabwe by wickets 7,50,Zimbabwe, Pakistan,Pakistan,bat,Harare Sports Club
8/29/2013,ODI,winner Pakistan by runs 90,50,Zimbabwe, Pakistan,Zimbabwe,field,Harare Sports Club
8/31/2013,ODI,winner Pakistan by runs 108,50,Zimbabwe, Pakistan,Zimbabwe,field,Harare Sports Club
8/27/2013,ODI,no result,50,Canada, Netherlands,Canada,field,Maple Leaf North-West Ground
8/29/2013,ODI,winner Netherlands by wickets 9,50,Canada, Netherlands,Netherlands,field,Maple Leaf North-West Ground
9/6/2013,ODI,winner Ireland by wickets 1,50,Ireland, Scotland,Scotland,bat,Civil Service Cricket Club Stormont
12/26/2013,ODI,winner West Indies by wickets 2,50,New Zealand, West Indies,West Indies,field,Eden Park
1/1/2014,ODI,winner New Zealand by runs 159,50,New Zealand, West Indies,West Indies,field,Queenstown Events Centre
1/4/2014,ODI,winner New Zealand by runs 58,50,New Zealand, West Indies,New Zealand,bat,Saxton Oval
1/8/2014,ODI,winner West Indies by runs 203,50,New Zealand, West Indies,New Zealand,field,Seddon Park
1/19/2014,ODI,winner New Zealand by runs 24,50,New Zealand, India,India,field,McLean Park
1/22/2014,ODI,winner New Zealand by runs 15,50,New Zealand, India,India,field,Seddon Park
1/25/2014,ODI,tie,50,New Zealand, India,India,field,Eden Park
1/28/2014,ODI,winner New Zealand by wickets 7,50,New Zealand, India,India,bat,Seddon Park
1/31/2014,ODI,winner New Zealand by runs 87,50,New Zealand, India,India,field,Westpac Stadium
8/27/2014,ODI,winner India by runs 133,50,England, India,England,field,Sophia Gardens
8/30/2014,ODI,winner India by wickets 6,50,England, India,India,field,Trent Bridge
9/2/2014,ODI,winner India by wickets 9,50,England, India,India,field,Edgbaston
9/5/2014,ODI,winner England by runs 41,50,England, India,India,field,Headingley
5/22/2014,ODI,winner England by runs 81,50,England, Sri Lanka,Sri Lanka,field,Kennington Oval
5/25/2014,ODI,winner Sri Lanka by runs 157,50,England, Sri Lanka,England,field,Riverside Ground
5/28/2014,ODI,winner England by wickets 10,50,England, Sri Lanka,England,field,Old Trafford
5/31/2014,ODI,winner Sri Lanka by runs 7,50,England, Sri Lanka,England,field,Lord's
6/3/2014,ODI,winner Sri Lanka by wickets 6,50,England, Sri Lanka,England,bat,Edgbaston
10/29/2013,ODI,winner Bangladesh by runs 43,50,Bangladesh, New Zealand,New Zealand,field,Shere Bangla National Stadium
10/31/2013,ODI,winner Bangladesh by runs 40,50,Bangladesh, New Zealand,Bangladesh,bat,Shere Bangla National Stadium
11/3/2013,ODI,winner Bangladesh by wickets 4,50,Bangladesh, New Zealand,Bangladesh,field,Khan Shaheb Osman Ali Stadium
11/10/2013,ODI,no result,50,Sri Lanka, New Zealand,New Zealand,field,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
11/12/2013,ODI,winner New Zealand by wickets 4,50,Sri Lanka, New Zealand,Sri Lanka,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
11/16/2013,ODI,winner Sri Lanka by runs 36,50,Sri Lanka, New Zealand,New Zealand,field,Rangiri Dambulla International Stadium
11/21/2013,ODI,winner India by wickets 6,50,India, West Indies,West Indies,bat,Nehru Stadium
11/24/2013,ODI,winner West Indies by wickets 2,50,India, West Indies,West Indies,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
11/27/2013,ODI,winner India by wickets 5,50,India, West Indies,India,field,Green Park
5/9/2014,ODI,winner England by runs 39,50,Scotland, England,Scotland,field,Mannofield Park
11/24/2013,ODI,winner Pakistan by runs 23,50,South Africa, Pakistan,Pakistan,bat,Newlands
11/27/2013,ODI,winner Pakistan by runs 1,50,South Africa, Pakistan,South Africa,field,St George's Park
11/30/2013,ODI,winner South Africa by wickets 4,50,South Africa, Pakistan,South Africa,field,SuperSport Park
2/17/2014,ODI,winner Sri Lanka by runs 13,50,Bangladesh, Sri Lanka,Bangladesh,field,Shere Bangla National Stadium
2/20/2014,ODI,winner Sri Lanka by runs 61,50,Bangladesh, Sri Lanka,Sri Lanka,bat,Shere Bangla National Stadium
2/22/2014,ODI,winner Sri Lanka by wickets 6,50,Bangladesh, Sri Lanka,Sri Lanka,field,Shere Bangla National Stadium
1/23/2014,ODI,winner Scotland by runs 170,50,Canada, Scotland,Canada,field,Hagley Oval
1/23/2014,ODI,winner Kenya by wickets 4,50,Kenya, Netherlands,Kenya,field,Bert Sutcliffe Oval
1/28/2014,ODI,winner Netherlands by wickets 8,50,Canada, Netherlands,Canada,bat,Bay Oval
1/30/2014,ODI,winner Scotland by wickets 3,50,Kenya, Scotland,Kenya,bat,Hagley Oval
2/23/2014,ODI,winner West Indies by wickets 4,50,West Indies, Ireland,Ireland,bat,Sabina Park Kingston
5/6/2014,ODI,winner Sri Lanka by runs 79,50,Ireland, Sri Lanka,Ireland,field,Clontarf Cricket Club Ground
2/25/2014,ODI,winner Sri Lanka by runs 12,50,Pakistan, Sri Lanka,Sri Lanka,bat,Khan Shaheb Osman Ali Stadium
2/26/2014,ODI,winner India by wickets 6,50,Bangladesh, India,India,field,Khan Shaheb Osman Ali Stadium
2/27/2014,ODI,winner Pakistan by runs 72,50,Afghanistan, Pakistan,Afghanistan,field,Khan Shaheb Osman Ali Stadium
2/28/2014,ODI,winner Sri Lanka by wickets 2,50,India, Sri Lanka,Sri Lanka,field,Khan Shaheb Osman Ali Stadium
3/1/2014,ODI,winner Afghanistan by runs 32,50,Bangladesh, Afghanistan,Bangladesh,field,Khan Shaheb Osman Ali Stadium
3/2/2014,ODI,winner Pakistan by wickets 1,50,India, Pakistan,Pakistan,field,Shere Bangla National Stadium
3/3/2014,ODI,winner Sri Lanka by runs 129,50,Afghanistan, Sri Lanka,Sri Lanka,bat,Shere Bangla National Stadium
3/4/2014,ODI,winner Pakistan by wickets 3,50,Bangladesh, Pakistan,Bangladesh,bat,Shere Bangla National Stadium
3/5/2014,ODI,winner India by wickets 8,50,Afghanistan, India,India,field,Shere Bangla National Stadium
3/6/2014,ODI,winner Sri Lanka by wickets 3,50,Bangladesh, Sri Lanka,Bangladesh,bat,Shere Bangla National Stadium
3/8/2014,ODI,winner Sri Lanka by wickets 5,50,Pakistan, Sri Lanka,Pakistan,bat,Shere Bangla National Stadium
1/16/2015,ODI,winner South Africa by runs 61,50,South Africa, West Indies,South Africa,bat,Kingsmead
1/18/2015,ODI,winner South Africa by runs 148,50,South Africa, West Indies,West Indies,field,New Wanderers Stadium
1/21/2015,ODI,winner South Africa by wickets 9,50,South Africa, West Indies,West Indies,bat,Buffalo Park
1/25/2015,ODI,winner West Indies by wickets 1,50,South Africa, West Indies,West Indies,field,St George's Park
1/28/2015,ODI,winner South Africa by runs 131,50,South Africa, West Indies,West Indies,field,SuperSport Park
10/7/2014,ODI,winner Australia by runs 93,50,Australia, Pakistan,Australia,bat,Sharjah Cricket Stadium
10/10/2014,ODI,winner Australia by wickets 5,50,Australia, Pakistan,Pakistan,bat,Dubai International Cricket Stadium
10/12/2014,ODI,winner Australia by runs 1,50,Australia, Pakistan,Australia,bat,Sheikh Zayed Stadium
9/8/2014,ODI,winner Ireland by wickets 7,50,Ireland, Scotland,Ireland,field,The Village Malahide
9/10/2014,ODI,winner Ireland by wickets 3,50,Ireland, Scotland,Ireland,field,The Village Malahide
9/12/2014,ODI,winner Scotland by wickets 8,50,Ireland, Scotland,Scotland,field,The Village Malahide
7/6/2014,ODI,winner South Africa by runs 75,50,Sri Lanka, South Africa,South Africa,bat,R Premadasa Stadium
7/9/2014,ODI,winner Sri Lanka by runs 87,50,Sri Lanka, South Africa,Sri Lanka,bat,Pallekele International Cricket Stadium
7/12/2014,ODI,winner South Africa by runs 82,50,Sri Lanka, South Africa,South Africa,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
8/20/2014,ODI,winner West Indies by wickets 3,50,West Indies, Bangladesh,West Indies,field,National Cricket Stadium St George's
8/22/2014,ODI,winner West Indies by runs 177,50,West Indies, Bangladesh,Bangladesh,field,National Cricket Stadium St George's
8/25/2014,ODI,winner West Indies by runs 91,50,West Indies, Bangladesh,West Indies,bat,Warner Park Basseterre
8/17/2014,ODI,winner South Africa by runs 93,50,Zimbabwe, South Africa,Zimbabwe,field,Queens Sports Club
8/19/2014,ODI,winner South Africa by runs 61,50,Zimbabwe, South Africa,Zimbabwe,field,Queens Sports Club
8/21/2014,ODI,winner South Africa by wickets 7,50,Zimbabwe, South Africa,South Africa,field,Queens Sports Club
8/25/2014,ODI,winner Australia by runs 198,50,Zimbabwe, Australia,Zimbabwe,field,Harare Sports Club
8/27/2014,ODI,winner South Africa by wickets 7,50,Australia, South Africa,South Africa,field,Harare Sports Club
8/29/2014,ODI,winner South Africa by runs 61,50,Zimbabwe, South Africa,Zimbabwe,field,Harare Sports Club
8/31/2014,ODI,winner Zimbabwe by wickets 3,50,Zimbabwe, Australia,Australia,bat,Harare Sports Club
9/2/2014,ODI,winner Australia by runs 62,50,Australia, South Africa,South Africa,field,Harare Sports Club
9/4/2014,ODI,winner South Africa by runs 63,50,Zimbabwe, South Africa,Zimbabwe,field,Harare Sports Club
9/6/2014,ODI,winner South Africa by wickets 6,50,Australia, South Africa,South Africa,field,Harare Sports Club
5/2/2014,ODI,winner Afghanistan by runs 70,50,Afghanistan, United Arab Emirates,United Arab Emirates,field,Kinrara Academy Oval
5/4/2014,ODI,winner United Arab Emirates by wickets 2,50,Hong Kong, United Arab Emirates,United Arab Emirates,field,Kinrara Academy Oval
12/8/2014,ODI,winner Pakistan by wickets 3,50,New Zealand, Pakistan,Pakistan,field,Dubai International Cricket Stadium
12/12/2014,ODI,winner New Zealand by wickets 4,50,New Zealand, Pakistan,Pakistan,bat,Sharjah Cricket Stadium
12/14/2014,ODI,winner Pakistan by runs 147,50,New Zealand, Pakistan,Pakistan,bat,Sharjah Cricket Stadium
12/17/2014,ODI,winner New Zealand by runs 7,50,New Zealand, Pakistan,New Zealand,bat,Sheikh Zayed Stadium
12/19/2014,ODI,winner New Zealand by runs 68,50,New Zealand, Pakistan,New Zealand,bat,Sheikh Zayed Stadium
6/9/2015,ODI,winner England by runs 210,50,England, New Zealand,New Zealand,field,Edgbaston
6/12/2015,ODI,winner New Zealand by runs 13,50,England, New Zealand,New Zealand,bat,Kennington Oval
